"Nr","ID","POINT_X","POINT_Y","Sand","Silt","Clay","Ca","set"
203,"A337",757707.438,7519514,76,4,20,9,"cal_candidate"
662,"B337",757707.438,7519514,76,4,20,2,"cal_candidate"
204,"A339",757809,7519516.5,74,4,22,13,"cal_candidate"
663,"B339",757809,7519516.5,76,4,20,1,"cal_candidate"
205,"A341",757910.313,7519518,76,4,20,13,"validation"
664,"B341",757910.313,7519518,80,2,18,1,"validation"
206,"A343",758010.625,7519521,76,4,20,17,"cal_candidate"
665,"B343",758010.625,7519521,78,4,18,1,"cal_candidate"
210,"A345",758110.563,7519423,72,6,22,15,"validation"
668,"B345",758110.563,7519423,76,2,22,1,"validation"
211,"A347",758009.875,7519420.5,72,6,22,14,"validation"
669,"B347",758009.875,7519420.5,76,2,22,3,"validation"
213,"A349",757809.813,7519417,76,6,18,14,"validation"
671,"B349",757809.813,7519417,80,2,18,2,"validation"
214,"A351",757709.688,7519415,76,6,18,7,"validation"
672,"B351",757709.688,7519415,80,2,18,1,"validation"
215,"A353",757510.625,7519410.5,78,4,18,12,"cal_candidate"
674,"B353",757510.625,7519410.5,80,2,18,1,"cal_candidate"
216,"A355",757411.563,7519410.5,76,6,18,45,"cal_candidate"
675,"B355",757411.563,7519410.5,78,2,20,1,"cal_candidate"
217,"A357",757309.688,7519410,78,4,18,9,"validation"
676,"B357",757309.688,7519410,80,2,18,1,"validation"
218,"A359",757210.313,7519408,78,4,18,5,"validation"
677,"B359",757210.313,7519408,82,2,16,1,"validation"
219,"A361",757111.438,7519407,80,4,16,8,"cal_candidate"
678,"B361",757111.438,7519407,82,2,16,1,"cal_candidate"
220,"A363",757010,7519404.5,80,4,16,6,"cal_candidate"
679,"B363",757010,7519404.5,82,2,16,1,"cal_candidate"
221,"A365",756909.25,7519402,82,4,14,5,"cal_candidate"
680,"B365",756909.25,7519402,80,2,18,7,"cal_candidate"
222,"A367",756810.25,7519399.5,80,4,16,8,"cal_candidate"
681,"B367",756810.25,7519399.5,78,2,20,2,"cal_candidate"
223,"A369",756709.125,7519398,76,6,18,7,"cal_candidate"
682,"B369",756709.125,7519398,74,2,24,7,"cal_candidate"
224,"A371",756610.125,7519395,62,8,30,6,"cal_candidate"
683,"B371",756610.125,7519395,48,7,45,13,"cal_candidate"
225,"A373",756510.063,7519393.5,44,14,42,16,"cal_candidate"
684,"B373",756510.063,7519393.5,38,10,52,7,"cal_candidate"
230,"A375",756413.938,7519293.5,42,10,48,25,"cal_candidate"
689,"B375",756413.938,7519293.5,37,8,55,11,"cal_candidate"
